seed,A0_best_epoch,A0_norm_mae,A0_raw_mae,A1b_best_epoch,A1b_norm_mae,A1b_raw_mae,delta_norm_mae,delta_raw_mae,git_commit
42,9,0.2340504974,72.8016968,10,0.2289208174,72.6437378,-0.0051296800,-0.1579590,50904e3bc5618575aef7af66070642c83ab4b52a
43,10,0.2242598236,66.3053207,10,0.2273432761,66.4959946,0.0030834526,0.1906738,50904e3bc5618575aef7af66070642c83ab4b52a
44,9,0.2399757057,66.7358551,9,0.2395315468,66.7191772,-0.0004441589,-0.0166779,50904e3bc5618575aef7af66070642c83ab4b52a
