seed,A0_best_epoch,A0_norm_mae,A0_raw_mae,A1b_best_epoch,A1b_norm_mae,A1b_raw_mae,delta_norm_mae,delta_raw_mae,git_commit
42,5,0.2704570293,84.814888,5,0.2686726749,83.781456,-0.0017843544,-1.033432,8465cbfb2841410e9bd6691674f4b02b9ff6aa34
43,5,0.263229,79.523544,5,0.262036,79.246048,-0.0011925995,-0.277496,8465cbfb2841410e9bd6691674f4b02b9ff6aa34
44,4,0.285213,81.557159,4,0.284896,81.266403,-0.000316, -0.290756,8465cbfb2841410e9bd6691674f4b02b9ff6aa34
